488 63
0 3 68
0 62 79
10 62 61
10 43 58
3 15 9
3 28 92
28 56 80
17 56 40
4 56 79
57 62 62
0 14 96
6 14 87
0 61 82
17 27 98
33 56 85
14 34 26
44 61 67
12 17 65
12 53 52
4 37 20
26 57 25
40 53 91
6 51 74
1 15 98
27 42 77
13 37 79
1 39 74
20 51 43
13 59 46
27 45 50
35 37 95
29 61 9
0 23 51
4 54 80
23 41 42
9 37 11
33 46 88
10 11 84
7 15 56
6 21 97
49 62 94
28 31 2
19 46 87
47 54 50
29 50 82
53 60 21
52 53 25
5 29 15
2 28 50
25 57 22
24 46 65
20 30 27
36 59 31
22 57 69
18 52 64
36 38 24
46 58 4
16 36 18
53 55 55
21 48 93
32 49 29
8 21 80
14 19 95
17 43 86
3 48 20
25 56 17
22 50 97
22 24 14
28 37 29
0 44 88
42 53 17
56 57 52
9 20 34
32 57 39
7 52 73
29 37 2
6 34 40
40 47 47
1 23 41
25 61 10
35 62 76
33 47 7
2 30 16
28 42 24
44 54 30
34 42 73
26 41 82
3 8 29
10 54 6
13 27 44
20 31 16
18 41 71
10 22 90
8 19 19
9 30 85
33 60 98
15 52 75
26 34 43
43 50 97
5 49 97
32 37 33
20 29 42
9 57 50
41 47 1
23 47 87
12 34 61
32 58 15
20 21 55
6 47 20
8 27 79
23 34 15
30 44 94
22 29 69
25 32 14
9 48 54
1 24 3
50 54 8
52 55 79
2 25 35
11 23 3
17 55 92
40 59 9
6 48 34
12 48 38
27 53 83
5 24 78
29 52 38
2 17 4
56 58 54
24 39 96
23 53 94
27 30 57
0 37 60
9 35 10
26 61 47
31 40 53
6 15 61
47 56 18
37 55 64
35 52 9
23 50 24
26 36 45
28 60 5
24 27 54
0 8 97
5 54 31
44 60 58
25 39 60
15 40 29
18 51 20
46 59 47
25 54 17
3 37 64
3 40 59
21 24 49
28 45 86
14 47 59
49 52 45
52 57 16
3 21 14
3 46 82
3 9 89
50 60 98
1 16 58
3 17 35
0 26 83
36 46 78
18 23 46
26 59 59
9 43 19
13 32 5
0 17 52
3 20 27
9 31 78
21 28 70
2 58 10
17 59 85
7 37 73
24 58 93
22 46 33
43 45 92
6 59 32
17 34 17
2 5 33
1 3 90
21 35 23
3 55 60
23 62 1
27 29 72
46 53 98
18 56 10
24 36 72
44 58 39
6 49 1
6 32 52
0 58 5
8 60 85
34 56 90
36 60 76
17 19 34
19 32 73
53 56 57
27 49 98
11 16 87
0 12 72
54 61 71
54 55 52
36 40 29
42 60 75
25 37 83
27 43 15
11 19 4
48 60 13
40 48 29
6 20 16
24 37 31
21 41 41
