1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;3;0;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;1;1;3;3;1;1;1;3;8;1
5;3;2;5;6;3;2;5;3;2;8;4;4;2;2;7;5;3;6;5;2;4;3;5;1;2;5;4;2;3;2;3;7;4;5;2;4;1;2;2;5;3;1;6;2;2;1;4;4;5
3;8;5;6;5;4;6;4;2;11;5;6;6;3;8;10;3;10;6;10;5;4;11;5;6;3;8;6;3;10;12;4;5;3;7;3;4;3;2;6;9;3;3;14;11;4;6;10;5;11
17;6;7;5;9;14;4;16;6;8;9;7;4;9;7;5;9;18;6;5;9;5;19;11;7;14;13;5;5;8;6;6;7;6;11;14;4;7;4;14;16;7;12;7;5;16;5;8;9;6
18;5;13;16;5;15;5;7;8;4;9;6;18;10;6;6;10;5;11;22;9;11;10;9;9;15;16;15;9;11;19;13;7;17;6;20;9;5;13;12;9;6;6;17;18;10;5;15;11;11
7;8;19;13;7;24;9;14;6;25;9;11;8;16;14;10;10;23;11;19;11;23;23;11;15;21;20;14;11;21;7;23;6;26;10;16;26;10;21;15;13;8;11;9;8;23;10;11;10;9
27;27;17;18;11;20;18;9;16;18;18;9;19;26;19;19;12;19;13;25;24;21;26;26;12;13;19;23;22;25;19;16;20;17;22;19;20;15;22;23;11;9;11;18;17;14;15;8;26;23
2;3;5;3;4;2;5;2;1;3;2;2;2;4;3;3;8;4;2;2;1;5;1;6;3;1;5;4;2;5;5;3;2;5;5;3;2;3;5;5;2;4;3;2;5;2;3;4;5;5
7;6;7;10;7;7;6;11;12;7;13;7;14;3;13;5;7;5;7;6;7;5;12;5;7;9;7;8;8;5;4;15;4;4;7;6;13;6;13;5;6;4;3;3;14;4;9;6;6;9
11;8;17;5;11;15;16;6;6;11;8;8;7;5;11;8;16;10;8;8;9;15;8;5;8;19;11;16;12;9;21;11;8;16;8;10;14;8;9;7;6;18;18;6;17;10;9;14;18;6
12;20;6;10;8;12;9;12;21;8;9;14;26;25;18;17;9;6;16;13;23;19;17;12;23;16;10;7;10;9;12;9;18;21;9;18;17;21;9;7;10;9;11;11;9;13;13;10;10;8
13;8;16;12;31;17;8;13;26;11;15;25;22;13;14;11;17;17;27;14;20;14;22;20;26;25;10;18;20;23;21;11;27;15;26;19;27;15;9;12;22;25;28;9;8;22;15;14;10;17
20;14;16;21;27;19;16;15;29;33;28;24;19;16;18;29;17;15;12;26;11;16;24;19;29;21;32;25;16;22;18;20;24;14;14;25;17;18;19;21;27;20;34;15;14;20;17;14;16;13
30;27;22;24;24;22;32;21;22;27;23;28;29;19;30;14;25;29;24;23;25;34;22;25;22;21;35;25;16;37;32;29;46;26;17;21;29;17;15;25;17;21;26;34;23;16;36;25;25;26
3;4;6;3;5;4;2;3;6;5;6;10;3;8;6;7;11;6;4;11;4;3;3;5;6;7;6;6;7;10;6;6;12;11;6;3;4;7;5;5;7;3;13;6;5;14;7;6;5;4
8;22;8;14;13;15;17;18;7;21;20;9;8;8;5;22;5;12;5;5;10;9;12;18;7;6;19;5;17;12;19;9;18;7;20;13;15;15;7;13;7;5;5;17;13;5;8;23;22;6
15;14;24;15;15;14;24;14;16;8;17;17;21;24;9;23;12;11;16;12;16;18;13;12;21;9;17;15;11;9;38;17;17;19;17;16;10;14;18;6;24;18;40;18;20;11;22;14;16;23
22;20;24;21;27;25;26;24;22;19;21;16;31;17;15;24;16;14;29;17;16;21;25;19;20;23;20;15;26;23;30;23;31;16;24;13;14;29;16;15;13;20;23;13;13;29;26;22;39;23
34;20;18;24;23;33;41;34;28;33;29;22;31;32;25;33;48;18;31;36;23;15;23;20;46;30;17;20;27;35;28;29;20;19;21;24;30;30;26;13;27;38;43;18;24;31;31;20;22;22
30;48;22;17;37;18;23;31;37;34;27;36;29;43;41;32;34;21;20;24;29;19;23;25;26;47;44;47;32;26;41;21;36;50;30;29;46;34;20;28;35;39;32;46;29;40;29;29;32;38
50;33;30;38;43;45;53;44;26;63;46;41;27;33;46;57;33;42;41;53;27;21;43;42;50;24;47;41;36;38;46;36;55;27;43;36;43;25;31;47;37;49;37;44;54;40;43;51;42;39
