229;259;257;310;227;346;267;265;237;226;269;344;300;334;266;234;249;336;284;249;286;470;356;375;347;349;329;316;362;242;336;413;329;288;350;336;390;347;394;272;390;297;477;351;335;381;377;394;390;317
559;1020;587;625;779;937;1070;934;901;774;663;921;956;873;779;693;836;786;769;574;682;578;733;649;1002;760;497;784;695;699;787;606;762;593;731;572;645;539;746;605;965;849;798;848;841;489;554;581;779;687
1547;1415;1261;1403;1030;1450;940;922;1116;1369;1185;1025;1237;1234;1266;1296;1264;1058;980;1115;946;1213;1473;1069;1118;1256;1550;1160;1124;1261;1845;1002;1346;1457;1521;1278;1391;1430;1316;1288;1711;1377;1498;1289;1192;1498;1262;1293;1167;1195
2461;2201;2141;2366;2133;2207;2116;2591;2062;2200;2726;2537;2429;2151;2568;2059;2892;2086;1817;1914;1889;2221;2140;2117;1625;2115;1838;1942;1873;1823;1855;2396;1748;1834;1744;2147;1862;2130;2155;2124;2152;2099;2182;1829;2138;1799;1890;2118;1867;2410
2825;3026;2833;2935;2884;3288;3016;2780;3048;3320;3024;2797;2391;2994;2874;2434;2353;3984;3843;3359;3381;3513;3354;4133;2761;3445;3402;3406;3395;3674;3563;3980;4007;2924;3538;3347;3479;3313;3968;3499;3741;3092;2854;2982;2925;2867;3042;2338;2778;2975
3632;4380;4736;4312;4377;4351;4777;4474;4274;4415;5387;3711;4373;4287;5039;3440;4422;4381;4249;5383;5118;4390;4363;5407;4999;5024;3578;4767;3609;4297;4393;4474;4923;4318;4834;4508;4359;4438;5207;5161;4355;4343;4456;4301;4679;5119;4980;5081;5042;5981
6908;7327;6036;6961;8371;7470;7765;7193;7426;7256;7727;7558;8416;5238;6668;6279;6238;5571;6146;6220;5554;6281;6207;6482;7339;5210;7384;6392;6227;6487;6199;7247;7225;7129;7469;5857;6228;6521;6165;6251;6676;6287;5049;6669;6054;6259;6394;6127;6158;6558
347;313;451;469;437;369;337;413;410;420;572;397;399;418;440;506;410;337;524;373;392;488;311;360;366;367;463;388;376;468;378;319;514;379;391;507;333;485;454;485;585;361;469;367;328;490;399;377;455;308
1009;974;908;841;800;950;1334;992;1143;1152;859;954;1008;1098;1020;936;987;958;815;1002;1006;1051;999;997;935;1076;1313;1273;1235;1047;1474;1268;1042;1032;1218;1061;1232;1328;1071;1025;1506;1077;1267;1231;1241;1085;1324;975;1023;1024
2523;1942;2571;1564;2138;2694;1735;2098;1774;2139;2088;1768;1395;1744;2220;1918;1789;1736;2111;2091;2462;1757;1728;1829;2442;2015;2123;2297;2120;2063;2412;2067;2635;2093;1895;2477;2066;2373;2346;2141;2631;2058;2034;2122;2038;2032;2090;1898;2059;2060
3603;3271;3022;3104;3289;2930;2904;3098;2891;2954;3104;3109;3635;3574;3426;3055;3126;3093;2917;3005;3260;3729;3148;3060;3674;2904;2948;3570;3523;3117;3109;3480;3623;2936;2866;3055;3082;2977;2935;3741;3569;3038;3981;3568;3548;3597;3584;3332;3014;3061
5039;5070;5027;5972;4954;4907;4859;5919;5169;5003;5460;6048;5292;5475;5832;5817;5941;6116;6832;5152;5023;4790;5117;5997;6036;4960;5140;6286;4892;5098;4887;6037;5193;4841;5117;5075;4973;5207;5012;4878;6034;5041;4990;5057;5115;4997;4833;5530;6008;5795
12175;10195;10339;10167;12399;10465;10135;14606;11625;10976;10551;10189;12370;10063;10351;10208;10605;10472;10463;10163;10358;10130;10436;11137;14259;11570;11055;12089;10189;10192;10555;11817;12295;12247;10404;10088;10457;12185;10103;10060;10182;10154;10330;10422;10151;10312;10287;10401;10170;10301
14732;14633;19305;18207;16348;17218;17298;17162;15814;16808;17291;17373;15040;14999;14873;15116;18623;15260;14642;17123;17530;12836;15285;14803;15000;15426;15234;14694;14738;17213;17147;17391;17291;17007;17275;17320;15105;15006;14994;15060;17961;17366;17066;16717;14814;17998;14911;15143;15357;14854
604;644;598;579;517;639;897;670;750;748;858;593;683;739;593;720;573;721;704;894;620;504;779;492;724;712;632;629;635;591;749;665;719;769;695;601;609;498;533;930;601;650;790;609;666;771;621;636;763;516
1654;1640;1225;1661;1611;1945;1988;1558;1395;1602;1725;1525;1445;1591;1683;1694;1430;1348;1665;1684;1580;1640;1632;1675;1663;1569;1698;1649;1710;1685;1624;1694;1573;1685;1666;1852;1439;1571;1377;1581;1730;1658;1342;1682;1652;2022;1274;1715;1645;1380
2546;3191;3710;3838;3240;2672;3224;3586;3446;3286;3243;3166;3822;3329;2726;3329;3349;2682;3968;3011;3973;3889;3801;4090;3938;3923;4005;3078;3734;3917;4124;4058;3914;3085;3156;3035;4162;3900;3920;4201;4059;3982;3216;4251;3940;3924;3882;4206;3837;3969
9415;9136;9346;7357;7343;9160;7166;9502;8976;9066;9274;8135;7964;7851;6318;6386;8277;6247;7806;7847;6223;8889;10814;9354;7333;9238;9005;9417;7178;7337;7379;7422;7392;9155;9392;9180;7138;7864;7935;7891;7930;8469;9800;9590;7530;8347;7305;6251;7863;7807
11777;14864;14711;14649;11668;14620;12098;16204;13591;17031;16866;16009;14773;14980;12684;14616;14567;15055;16915;17401;17011;11916;15182;15185;14754;15132;12010;14862;15033;13814;13887;12272;14975;14980;12446;14905;12145;12425;12177;11716;14204;13516;16887;16925;13394;16919;13900;16368;11879;12085
24121;24131;18786;19079;18830;19338;20098;19398;19344;19248;19181;26738;19431;19015;19347;19377;19831;19654;19666;20148;19544;19579;19233;24540;19512;19720;19227;24131;27188;22578;22498;22163;22037;22378;21273;21945;27629;28115;22278;22379;27426;28008;22151;22236;28157;22239;22517;22093;22280;25017
25010;25715;33223;28114;25196;31500;32001;27765;35877;28758;26434;29972;32006;31760;25253;31325;31872;28672;28865;25259;25280;25319;28913;25347;24919;25194;25140;31312;25222;29510;29176;28880;28652;34250;25233;28393;25300;25446;27734;27247;25223;29281;29060;37497;28841;36424;25196;25392;29657;27731
